               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11665,            0.016261,                   0,          0.00079365,             0.16484,          0.00047508,          0.00012311,             0.10502,            0.012948,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.10254,            0.017723,                   0,           0.0013095,             0.36264,           0.0044612,          0.00082863,            0.091586,            0.013172,                   0,            0.084588,           0.0015878,           0.0015878
                   2,            0.088994,            0.020044,                   0,           0.0023256,             0.65934,            0.048276,            0.013857,            0.080052,            0.012842,                   0,            0.076257,           0.0022568,           0.0022568
                   3,            0.077203,            0.020192,                   0,             0.28399,             0.38356,             0.21361,            0.068488,            0.068969,             0.01247,                   0,            0.067807,            0.002807,            0.002807
                   4,            0.067387,            0.019026,                   0,             0.27689,             0.25275,             0.24159,             0.05569,            0.070819,            0.011555,                   0,            0.059238,           0.0032384,           0.0032384
                   5,            0.064388,            0.018033,                   0,              0.4374,             0.31868,             0.38407,             0.15915,            0.066148,            0.011181,                   0,            0.050551,            0.003551,            0.003551
                   6,            0.058972,            0.017443,                   0,             0.67074,             0.61538,              0.6861,             0.24582,            0.056844,            0.010868,                   0,            0.041745,           0.0037448,           0.0037448
                   7,            0.055927,            0.017902,                   0,             0.57609,             0.54945,             0.56416,             0.22072,            0.052016,            0.010525,                   0,             0.03282,           0.0038198,           0.0038198
                   8,             0.05331,            0.016806,                   0,             0.59209,             0.76566,             0.74294,             0.27334,            0.055043,           0.0095061,                   0,            0.023776,            0.003776,            0.003776
                   9,            0.050473,            0.016162,                   0,             0.65481,             0.69231,             0.71951,             0.28916,            0.052379,           0.0090982,                   0,            0.014613,           0.0036134,           0.0036134
                  10,            0.049275,            0.016321,                   0,             0.56245,             0.64835,             0.59038,             0.21496,            0.050783,           0.0087636,                   0,            0.005332,            0.003332,            0.003332
                  11,            0.046642,            0.015151,                   0,             0.64193,             0.82418,             0.72466,             0.29781,            0.045597,           0.0082274,                   0,             0.00274,             0.00274,             0.00274
                  12,            0.043556,            0.014435,                   0,             0.82839,             0.76923,             0.89386,             0.47795,            0.041977,           0.0076722,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.041298,            0.013245,                   0,             0.84392,              0.8913,             0.90233,              0.4033,            0.039736,           0.0073616,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.038781,            0.012301,                   0,             0.91585,             0.87912,             0.95269,             0.51761,            0.034422,            0.007077,                   0,             0.00142,             0.00142,             0.00142
